title,workshop,location,month,dates,year,link,local,recording,attribute
Distances between nonnegative measures arising from optimal entropy-transport problems,OW workshop: Applications of Optimal Transportation in the Natural Sciences,"MFO, Oberwolfach",\gennaio,29,2017,https://www.mfo.de/occasion/1705/www_view,,,
"Contraction and regularization properties of the heat flow with respect to Hellinger, Kantorovich, and Hellinger-Kantorovich distances","OW workshop: Heat Kernels, Stochastic Processes and Functional Inequalities","MFO, Oberwolfach",\novembre,27,2016,https://www.mfo.de/occasion/1648/www_view,,,
"Diffusion, optimal transport, and Ricci curvature (Invited talk)",7th European Congress of Mathematics,Berlin,\luglio,18-22,2016,http://www.7ecm.de/program/invited_talks.html,,,
Viscous approximations of rate independent evolutions,Workshop: Advances in the Mathematical Analysis of Material Defects in Elastic Solids,"SISSA, Trieste",\giugno,6-10,2016,http://amamades.weebly.com,,,
A new Visco-Energetic incremental minimization scheme for rate-independent evolution problems,ERC workshop: Modeling Materials and Fluids using Variational Methods,"WIAS, Berlin",\febbraio,22-26,2016,http://www.wias-berlin.de/workshops/MoMatFlu/,,,
Optimal Entropy-Transport problems and a new Hellinger-Kantorovich distance between positive measures,Analysis in Lyon,Lyon,\ottobre,26-30,2015,http://analysis-lyon2015.math.cnrs.fr/workshop/index.html,,,
"Gradient flows, Ekeland principle and convergence of the Minimizing Movement method",Gradient flows: from theory to application,"ICMS, Edinburgh",\aprile,20-24,2015,http://www.icms.org.uk/workshop.php?id=336,,,
Optimal transport and metric-Sobolev spaces,New trends in Optimal Transport,"HIM, Bonn",\marzo,2-6,2015,http://wt.iam.uni-bonn.de/conference-new-trends-in-optimal-transport,,,
Entropy-transport optimization problems and the Hellinger-Kantorovich distance,"Entropy Methods, PDEs, Functional Inequalities, and Applications","BIRS, Banff",\luglio,1-4,2014,https://www.birs.ca/events/2014/5-day-workshops/14w5109,,,
"Diffusione, trasporto ottimo e curvatura",Seminario matematico e fisico di Milano,Politecnico di Milano,\maggio,27,2014,https://www.mate.polimi.it/smf,,,m
"Calculus, transport and Heat flow in metric measure spaces",Fractal Geometry and Stochastics,"Tabarz, Germany",\marzo,24-28,2014,http://www.fgs5.uni-jena.de,,,
Metric measure spaces with Riemannian Ricci curvature bounded from below,Infinite-Dimensional Geometry,"MSRI, Berkeley",\dicembre,7-8,2013,http://www.msri.org/workshops/728,,,
Lagrangian solutions to the one-dimensional Euler-Poisson system,15th Italian Meeting on Hyperbolic Equations,Milano,\settembre,11-13,2013,http://peano.matapp.unimib.it/ipermib2013/index.php,,,m
